id_pk,id_wniosku_fk,id_pracownika_fk,id_stanowiska_fk
50400,50400,1,7
50401,50401,34,9
50402,50402,12,1
50403,50403,7,2
50404,50404,11,8
50405,50405,23,2
50406,50406,5,8
50407,50407,17,3
50408,50408,22,6
50409,50409,49,8
50410,50410,19,7
50411,50411,25,9
50412,50412,24,3
50413,50413,37,1
50414,50414,25,5
50415,50415,20,9
50416,50416,15,3
50417,50417,43,6
50418,50418,27,5
50419,50419,48,5
50420,50420,8,8
50421,50421,50,3
50422,50422,11,2
50423,50423,24,5
50424,50424,22,9
50425,50425,31,5
50426,50426,42,3
50427,50427,1,7
50428,50428,11,1
50429,50429,17,5
50430,50430,33,3
50431,50431,26,9
50432,50432,50,3
50433,50433,21,3
50434,50434,4,4
50435,50435,28,3
50436,50436,38,4
50437,50437,15,3
50438,50438,16,9
50439,50439,43,8
50440,50440,41,9
50441,50441,44,2
50442,50442,46,4
50443,50443,38,6
50444,50444,16,2
50445,50445,49,7
50446,50446,23,3
50447,50447,17,3
50448,50448,5,7
50449,50449,50,5
50450,50450,1,6
50451,50451,10,9
50452,50452,20,8
50453,50453,32,4
50454,50454,49,2
50455,50455,25,8
50456,50456,10,6
50457,50457,4,9
50458,50458,22,7
50459,50459,38,3
50460,50460,32,6
50461,50461,42,6
50462,50462,13,7
50463,50463,40,6
50464,50464,17,9
50465,50465,20,1
50466,50466,48,1
50467,50467,11,3
50468,50468,1,6
50469,50469,44,10
50470,50470,11,8
50471,50471,16,10
50472,50472,1,3
50473,50473,15,1
50474,50474,7,6
50475,50475,47,1
50476,50476,9,4
50477,50477,19,4
50478,50478,47,1
50479,50479,20,3
50480,50480,7,5
50481,50481,13,1
50482,50482,34,5
50483,50483,23,5
50484,50484,35,8
50485,50485,39,1
50486,50486,17,7
50487,50487,29,6
50488,50488,35,7
50489,50489,16,5
50490,50490,41,10
50491,50491,29,3
50492,50492,18,2
50493,50493,19,9
50494,50494,50,9
50495,50495,29,8
50496,50496,49,3
50497,50497,34,7
50498,50498,45,1
50499,50499,47,9
50500,50500,7,9
50501,50501,41,10
50502,50502,16,3
50503,50503,11,4
50504,50504,50,6
50505,50505,13,8
50506,50506,29,4
50507,50507,5,1
50508,50508,12,4
50509,50509,45,10
50510,50510,6,4
50511,50511,35,3
50512,50512,32,1
50513,50513,30,5
50514,50514,35,4
50515,50515,36,7
50516,50516,18,3
50517,50517,39,8
50518,50518,42,7
50519,50519,6,6
50520,50520,25,10
50521,50521,48,8
50522,50522,9,9
50523,50523,48,9
50524,50524,30,10
50525,50525,24,4
50526,50526,8,4
50527,50527,42,10
50528,50528,33,5
50529,50529,7,9
50530,50530,2,3
50531,50531,37,8
50532,50532,18,9
50533,50533,33,10
50534,50534,21,9
50535,50535,16,6
50536,50536,49,6
50537,50537,12,6
50538,50538,21,5
50539,50539,48,1
50540,50540,18,9
50541,50541,20,7
50542,50542,34,2
50543,50543,13,10
50544,50544,7,6
50545,50545,4,7
50546,50546,13,6
50547,50547,45,7
50548,50548,12,5
50549,50549,27,10
50550,50550,31,1
50551,50551,49,5
50552,50552,14,6
50553,50553,40,5
50554,50554,39,7
50555,50555,33,7
50556,50556,13,2
50557,50557,39,6
50558,50558,37,10
50559,50559,4,7
50560,50560,42,5
50561,50561,26,1
50562,50562,13,3
50563,50563,23,9
50564,50564,36,8
50565,50565,17,3
50566,50566,7,7
50567,50567,25,4
50568,50568,50,4
50569,50569,13,10
50570,50570,15,8
50571,50571,40,3
50572,50572,33,7
50573,50573,2,2
50574,50574,26,5
50575,50575,43,6
50576,50576,24,7
50577,50577,14,3
50578,50578,23,4
50579,50579,11,3
50580,50580,12,9
50581,50581,8,7
50582,50582,14,7
50583,50583,45,6
50584,50584,12,2
50585,50585,40,9
50586,50586,6,1
50587,50587,5,6
50588,50588,12,4
50589,50589,3,2
50590,50590,17,4
50591,50591,26,10
50592,50592,26,8
50593,50593,7,1
50594,50594,14,10
50595,50595,4,5
50596,50596,30,5
50597,50597,34,1
50598,50598,33,9
50599,50599,48,3
50600,50600,34,2
50601,50601,43,6
50602,50602,4,6
50603,50603,23,5
50604,50604,39,5
50605,50605,43,4
50606,50606,37,2
50607,50607,16,9
50608,50608,11,4
50609,50609,14,9
50610,50610,48,6
50611,50611,39,1
50612,50612,22,7
50613,50613,39,7
50614,50614,31,5
50615,50615,35,10
50616,50616,5,5
50617,50617,1,4
50618,50618,25,3
50619,50619,12,8
50620,50620,15,3
50621,50621,26,6
50622,50622,36,7
50623,50623,7,3
50624,50624,1,2
50625,50625,24,5
50626,50626,34,1
50627,50627,23,7
50628,50628,7,7
50629,50629,19,4
50630,50630,2,3
50631,50631,38,3
50632,50632,33,2
50633,50633,17,7
50634,50634,13,8
50635,50635,19,1
50636,50636,21,7
50637,50637,22,9
50638,50638,17,1
50639,50639,13,9
50640,50640,7,9
50641,50641,21,5
50642,50642,12,4
50643,50643,23,4
50644,50644,39,1
50645,50645,14,6
50646,50646,2,10
50647,50647,43,3
50648,50648,8,9
50649,50649,6,9
50650,50650,9,6
50651,50651,10,3
50652,50652,25,2
50653,50653,50,5
50654,50654,4,4
50655,50655,4,10
50656,50656,46,9
50657,50657,19,2
50658,50658,6,9
50659,50659,1,8
50660,50660,10,4
50661,50661,16,6
50662,50662,35,8
50663,50663,11,5
50664,50664,22,2
50665,50665,6,9
50666,50666,24,9
50667,50667,13,4
50668,50668,9,9
50669,50669,6,3
50670,50670,12,5
50671,50671,30,2
50672,50672,14,10
50673,50673,16,1
50674,50674,3,5
50675,50675,40,6
50676,50676,36,10
50677,50677,31,5
50678,50678,17,6
50679,50679,25,2
50680,50680,50,8
50681,50681,41,2
50682,50682,33,7
50683,50683,4,10
50684,50684,42,8
50685,50685,27,2
50686,50686,8,9
50687,50687,23,2
50688,50688,29,6
50689,50689,50,5
50690,50690,50,3
50691,50691,49,6
50692,50692,3,6
50693,50693,8,4
50694,50694,29,4
50695,50695,11,5
50696,50696,28,9
50697,50697,19,9
50698,50698,37,3
50699,50699,24,1
50700,50700,40,1
50701,50701,15,10
50702,50702,18,1
50703,50703,35,6
50704,50704,25,3
50705,50705,25,10
50706,50706,5,3
50707,50707,4,8
50708,50708,37,6
50709,50709,34,5
50710,50710,44,10
50711,50711,6,2
50712,50712,17,1
50713,50713,21,5
50714,50714,41,6
50715,50715,32,5
50716,50716,8,10
50717,50717,22,4
50718,50718,39,1
50719,50719,22,6
50720,50720,28,8
50721,50721,25,3
50722,50722,44,3
50723,50723,40,9
50724,50724,1,3
50725,50725,6,4
50726,50726,20,3
50727,50727,27,10
50728,50728,28,1
50729,50729,1,3
50730,50730,17,5
50731,50731,14,7
50732,50732,8,7
50733,50733,21,9
50734,50734,11,7
50735,50735,35,7
50736,50736,18,9
50737,50737,11,2
50738,50738,49,2
50739,50739,11,7
50740,50740,25,7
50741,50741,34,10
50742,50742,20,1
50743,50743,39,1
50744,50744,41,9
50745,50745,12,6
50746,50746,33,7
50747,50747,44,9
50748,50748,43,6
50749,50749,25,3
50750,50750,35,7
50751,50751,44,5
50752,50752,19,10
50753,50753,17,2
50754,50754,40,6
50755,50755,44,6
50756,50756,25,6
50757,50757,35,4
50758,50758,18,4
50759,50759,3,7
50760,50760,36,3
50761,50761,43,1
50762,50762,38,5
50763,50763,11,10
50764,50764,50,2
50765,50765,26,5
50766,50766,14,1
50767,50767,25,4
50768,50768,36,5
50769,50769,17,5
50770,50770,36,5
50771,50771,10,7
50772,50772,2,3
50773,50773,36,3
50774,50774,49,8
50775,50775,44,5
50776,50776,5,10
50777,50777,39,3
50778,50778,30,3
50779,50779,12,10
50780,50780,19,6
50781,50781,20,3
50782,50782,11,4
50783,50783,14,7
50784,50784,16,5
50785,50785,7,8
50786,50786,49,10
50787,50787,41,1
50788,50788,2,9
50789,50789,25,8
50790,50790,17,7
50791,50791,38,7
50792,50792,13,6
50793,50793,36,8
50794,50794,10,4
50795,50795,35,3
50796,50796,12,7
50797,50797,32,3
50798,50798,19,1
50799,50799,12,3
50800,50800,9,10
50801,50801,6,3
50802,50802,33,1
50803,50803,10,5
50804,50804,20,6
50805,50805,28,4
50806,50806,16,9
50807,50807,29,8
50808,50808,47,5
50809,50809,15,6
50810,50810,32,10
50811,50811,22,10
50812,50812,48,3
50813,50813,42,10
50814,50814,16,7
50815,50815,26,7
50816,50816,36,4
50817,50817,16,7
50818,50818,38,1
50819,50819,38,2
50820,50820,5,2
50821,50821,37,5
50822,50822,27,3
50823,50823,32,8
50824,50824,34,10
50825,50825,46,2
50826,50826,10,2
50827,50827,44,1
50828,50828,47,10
50829,50829,18,9
50830,50830,19,1
50831,50831,1,10
50832,50832,31,7
50833,50833,11,10
50834,50834,31,2
50835,50835,42,7
50836,50836,9,2
50837,50837,21,6
50838,50838,49,10
50839,50839,14,5
50840,50840,12,4
50841,50841,1,7
50842,50842,38,10
50843,50843,49,1
50844,50844,29,2
50845,50845,8,1
50846,50846,27,5
50847,50847,20,5
50848,50848,43,2
50849,50849,30,3
50850,50850,27,3
50851,50851,38,3
50852,50852,11,10
50853,50853,34,2
50854,50854,19,2
50855,50855,11,7
50856,50856,13,4
50857,50857,36,1
50858,50858,18,10
50859,50859,35,2
50860,50860,5,1
50861,50861,18,10
50862,50862,31,1
50863,50863,37,7
50864,50864,32,3
50865,50865,42,3
50866,50866,31,6
50867,50867,23,5
50868,50868,38,7
50869,50869,5,5
50870,50870,36,8
50871,50871,38,7
50872,50872,22,5
50873,50873,25,2
50874,50874,33,5
50875,50875,36,2
50876,50876,39,3
50877,50877,21,6
50878,50878,9,10
50879,50879,15,7
50880,50880,28,8
50881,50881,22,2
50882,50882,47,2
50883,50883,7,2
50884,50884,24,7
50885,50885,12,3
50886,50886,46,8
50887,50887,5,6
50888,50888,24,6
50889,50889,18,7
50890,50890,38,8
50891,50891,22,7
50892,50892,20,2
50893,50893,37,4
50894,50894,33,2
50895,50895,46,5
50896,50896,33,6
50897,50897,35,9
50898,50898,30,2
50899,50899,28,5
50900,50900,15,5
50901,50901,6,2
50902,50902,36,5
50903,50903,35,4
50904,50904,20,9
50905,50905,22,4
50906,50906,21,7
50907,50907,22,6
50908,50908,8,4
50909,50909,24,3
50910,50910,31,8
50911,50911,38,4
50912,50912,30,3
50913,50913,5,2
50914,50914,13,8
50915,50915,14,6
50916,50916,43,7
50917,50917,12,4
50918,50918,8,7
50919,50919,36,1
50920,50920,44,6
50921,50921,39,7
50922,50922,39,3
50923,50923,21,3
50924,50924,4,3
50925,50925,1,3
50926,50926,1,2
50927,50927,16,4
50928,50928,26,7
50929,50929,7,2
50930,50930,46,2
50931,50931,11,7
50932,50932,21,10
50933,50933,30,3
50934,50934,35,5
50935,50935,16,7
50936,50936,4,10
50937,50937,10,3
50938,50938,27,10
50939,50939,19,4
50940,50940,12,2
50941,50941,45,10
50942,50942,18,3
50943,50943,18,8
50944,50944,29,1
50945,50945,43,6
50946,50946,26,10
50947,50947,25,3
50948,50948,22,2
50949,50949,42,10
50950,50950,8,5
50951,50951,9,2
50952,50952,39,8
50953,50953,10,10
50954,50954,45,9
50955,50955,30,1
50956,50956,43,8
50957,50957,15,10
50958,50958,7,9
50959,50959,25,3
50960,50960,10,8
50961,50961,10,10
50962,50962,29,10
50963,50963,32,4
50964,50964,39,7
50965,50965,45,8
50966,50966,16,10
50967,50967,26,4
50968,50968,47,9
50969,50969,28,6
50970,50970,49,1
50971,50971,11,10
50972,50972,42,7
50973,50973,14,10
50974,50974,44,7
50975,50975,45,7
50976,50976,42,10
50977,50977,17,3
50978,50978,15,9
50979,50979,30,6
50980,50980,2,7
50981,50981,15,9
50982,50982,15,8
50983,50983,31,6
50984,50984,39,7
50985,50985,20,1
50986,50986,11,5
50987,50987,48,4
50988,50988,25,2
50989,50989,42,3
50990,50990,28,3
50991,50991,17,6
50992,50992,25,8
50993,50993,29,8
50994,50994,36,9
50995,50995,9,3
50996,50996,1,4
50997,50997,39,8
50998,50998,48,10
50999,50999,30,7
51000,51000,23,3
51001,51001,6,1
51002,51002,50,7
51003,51003,14,7
51004,51004,24,10
51005,51005,9,9
51006,51006,15,7
51007,51007,33,8
51008,51008,11,9
51009,51009,17,5
51010,51010,33,8
51011,51011,1,1
51012,51012,14,9
51013,51013,50,3
51014,51014,27,6
51015,51015,6,5
51016,51016,19,10
51017,51017,21,6
51018,51018,10,2
51019,51019,39,7
51020,51020,1,1
51021,51021,40,5
51022,51022,23,10
51023,51023,23,3
51024,51024,2,4
51025,51025,46,1
51026,51026,18,10
51027,51027,37,10
51028,51028,48,8
51029,51029,24,6
51030,51030,26,4
51031,51031,29,1
51032,51032,24,4
51033,51033,42,7
51034,51034,3,10
51035,51035,44,10
51036,51036,50,3
51037,51037,20,3
51038,51038,47,1
51039,51039,12,5
51040,51040,46,2
51041,51041,33,6
51042,51042,15,7
51043,51043,25,6
51044,51044,35,5
51045,51045,28,5
51046,51046,36,9
51047,51047,27,4
51048,51048,16,6
51049,51049,36,6
51050,51050,4,10
51051,51051,48,7
51052,51052,18,2
51053,51053,5,2
51054,51054,24,4
51055,51055,8,8
51056,51056,24,9
51057,51057,43,3
51058,51058,20,1
51059,51059,25,6
51060,51060,18,1
51061,51061,19,4
51062,51062,46,7
51063,51063,5,9
51064,51064,44,5
51065,51065,30,9
51066,51066,34,1
51067,51067,24,5
51068,51068,41,3
51069,51069,1,9
51070,51070,6,7
51071,51071,43,4
51072,51072,31,5
51073,51073,28,6
51074,51074,31,10
51075,51075,48,10
51076,51076,25,9
51077,51077,18,5
51078,51078,3,3
51079,51079,10,7
51080,51080,48,2
51081,51081,18,7
51082,51082,47,6
51083,51083,17,8
51084,51084,23,2
51085,51085,50,8
51086,51086,15,6
51087,51087,38,9
51088,51088,5,10
51089,51089,18,7
51090,51090,17,8
51091,51091,27,3
51092,51092,4,6
51093,51093,37,3
51094,51094,12,6
51095,51095,20,5
51096,51096,2,9
51097,51097,28,9
51098,51098,3,7
51099,51099,43,7
51100,51100,3,1
51101,51101,12,5
51102,51102,42,1
51103,51103,24,10
51104,51104,43,9
51105,51105,21,4
51106,51106,19,3
51107,51107,34,4
51108,51108,25,3
51109,51109,26,6
51110,51110,48,6
51111,51111,22,8
51112,51112,2,7
51113,51113,34,3
51114,51114,37,1
51115,51115,25,1
51116,51116,13,6
51117,51117,3,10
51118,51118,7,3
51119,51119,20,4
51120,51120,31,5
51121,51121,9,9
51122,51122,33,5
51123,51123,21,8
51124,51124,2,3
51125,51125,20,8
51126,51126,3,2
51127,51127,36,3
51128,51128,4,10
51129,51129,20,9
51130,51130,5,3
51131,51131,33,8
51132,51132,26,5
51133,51133,41,6
51134,51134,18,5
51135,51135,14,7
51136,51136,6,9
51137,51137,39,2
51138,51138,5,1
51139,51139,46,7
51140,51140,20,10
51141,51141,43,2
51142,51142,22,4
51143,51143,6,4
51144,51144,21,4
51145,51145,32,8
51146,51146,3,7
51147,51147,45,10
51148,51148,4,10
51149,51149,3,8
51150,51150,2,10
51151,51151,3,2
51152,51152,8,6
51153,51153,33,1
51154,51154,9,6
51155,51155,15,1
51156,51156,29,1
51157,51157,27,9
51158,51158,18,5
51159,51159,13,4
51160,51160,29,1
51161,51161,3,4
51162,51162,9,1
51163,51163,1,3
51164,51164,8,6
51165,51165,15,5
51166,51166,45,2
51167,51167,32,8
51168,51168,44,10
51169,51169,13,6
51170,51170,21,2
51171,51171,24,3
51172,51172,42,9
51173,51173,6,3
51174,51174,17,1
51175,51175,5,4
51176,51176,45,9
51177,51177,34,2
51178,51178,49,3
51179,51179,36,2
51180,51180,9,1
51181,51181,32,9
51182,51182,40,8
51183,51183,30,3
51184,51184,28,5
51185,51185,5,1
51186,51186,43,7
51187,51187,47,9
51188,51188,4,3
51189,51189,34,7
51190,51190,21,2
51191,51191,34,8
51192,51192,18,3
51193,51193,14,3
51194,51194,43,6
51195,51195,10,7
51196,51196,4,5
51197,51197,47,9
51198,51198,10,4
51199,51199,39,3
51200,51200,6,5
51201,51201,1,9
51202,51202,49,6
51203,51203,9,9
51204,51204,15,3
51205,51205,32,2
51206,51206,46,10
51207,51207,9,5
51208,51208,33,4
51209,51209,45,7
51210,51210,35,3
51211,51211,6,2
51212,51212,19,2
51213,51213,6,5
51214,51214,40,7
51215,51215,47,9
51216,51216,32,9
51217,51217,35,3
51218,51218,29,4
51219,51219,45,8
51220,51220,40,9
51221,51221,20,3
51222,51222,30,1
51223,51223,2,7
51224,51224,13,4
51225,51225,18,7
51226,51226,50,9
51227,51227,11,5
51228,51228,49,4
51229,51229,41,8
51230,51230,42,3
51231,51231,48,8
51232,51232,2,1
51233,51233,42,2
51234,51234,14,6
51235,51235,24,8
51236,51236,27,6
51237,51237,20,7
51238,51238,15,7
51239,51239,31,8
51240,51240,16,6
51241,51241,4,7
51242,51242,49,10
51243,51243,30,8
51244,51244,15,5
51245,51245,36,2
51246,51246,31,10
51247,51247,20,9
51248,51248,13,2
51249,51249,1,3
51250,51250,21,7
51251,51251,2,4
51252,51252,44,9
51253,51253,36,6
51254,51254,23,4
51255,51255,32,7
51256,51256,16,8
51257,51257,5,8
51258,51258,49,7
51259,51259,39,9
51260,51260,35,7
51261,51261,9,1
51262,51262,14,7
51263,51263,28,3
51264,51264,17,2
51265,51265,19,2
51266,51266,35,10
51267,51267,45,3
51268,51268,44,6
51269,51269,37,2
51270,51270,6,6
51271,51271,20,3
51272,51272,19,6
51273,51273,18,2
51274,51274,27,10
51275,51275,2,1
51276,51276,15,4
51277,51277,40,3
51278,51278,28,3
51279,51279,14,8
51280,51280,36,5
51281,51281,11,9
51282,51282,38,2
51283,51283,23,8
51284,51284,33,4
51285,51285,6,7
51286,51286,20,2
51287,51287,22,2
51288,51288,18,7
51289,51289,22,5
51290,51290,40,4
51291,51291,17,4
51292,51292,24,2
51293,51293,10,2
51294,51294,12,8
51295,51295,38,7
51296,51296,19,9
51297,51297,16,1
51298,51298,9,3
51299,51299,1,3
51300,51300,5,6
51301,51301,47,7
51302,51302,42,3
51303,51303,31,8
51304,51304,24,10
51305,51305,17,10
51306,51306,18,5
51307,51307,23,9
51308,51308,8,9
51309,51309,9,2
51310,51310,40,2
51311,51311,28,10
51312,51312,12,9
51313,51313,29,1
51314,51314,11,2
51315,51315,26,6
51316,51316,7,6
51317,51317,22,7
51318,51318,23,5
51319,51319,44,2
51320,51320,7,5
51321,51321,27,2
51322,51322,18,10
51323,51323,42,10
51324,51324,47,10
51325,51325,37,1
51326,51326,21,4
51327,51327,16,7
51328,51328,32,8
51329,51329,34,5
51330,51330,7,8
51331,51331,19,4
51332,51332,45,8
51333,51333,10,1
51334,51334,35,8
51335,51335,29,4
51336,51336,46,7
51337,51337,23,5
51338,51338,33,8
51339,51339,7,6
51340,51340,50,4
51341,51341,10,10
51342,51342,45,3
51343,51343,21,6
51344,51344,35,9
51345,51345,50,3
51346,51346,42,3
51347,51347,26,3
51348,51348,47,3
51349,51349,13,10
51350,51350,32,5
51351,51351,1,3
51352,51352,28,8
51353,51353,8,4
51354,51354,15,3
51355,51355,50,2
51356,51356,45,3
51357,51357,8,7
51358,51358,44,5
51359,51359,35,10
51360,51360,12,10
51361,51361,36,3
51362,51362,21,9
51363,51363,45,4
51364,51364,7,6
51365,51365,21,5
51366,51366,20,3
51367,51367,25,7
51368,51368,40,9
51369,51369,37,1
51370,51370,46,1
51371,51371,10,1
51372,51372,5,3
51373,51373,1,8
51374,51374,11,9
51375,51375,12,3
51376,51376,10,3
51377,51377,7,3
51378,51378,28,4
51379,51379,50,7
51380,51380,7,7
51381,51381,36,8
51382,51382,5,5
51383,51383,40,10
51384,51384,37,2
51385,51385,15,4
51386,51386,22,9
51387,51387,12,1
51388,51388,10,4
51389,51389,17,10
51390,51390,2,7
51391,51391,23,8
51392,51392,16,9
